transaction_id,date,customer_id,product,quantity,amount
1,2024-11-23,CUST0340,Widget A,8,184.52
2,2024-02-27,CUST0347,Gadget X,2,314.12
3,2024-01-13,CUST0329,Gadget X,5,285.32
4,2024-05-20,CUST0198,Widget A,4,394.01
5,2024-05-05,CUST0077,Widget A,5,478.77
6,2024-04-24,CUST0430,Tool Lite,13,247.5
7,2024-03-12,CUST0424,Widget B,1,163.94
8,2024-02-22,CUST0286,Widget A,14,442.77
9,2024-12-12,CUST0457,Gadget X,12,108.03
10,2024-10-06,CUST0314,Widget C,2,407.26
11,2024-02-14,CUST0028,Widget C,4,102.22
12,2024-10-29,CUST0006,Tool Pro,19,462.62
13,2024-08-04,CUST0330,Widget C,3,306.49
14,2024-01-17,CUST0479,Widget B,16,154.85
15,2024-01-16,CUST0081,Tool Lite,20,39.68
16,2024-02-17,CUST0259,Gadget X,6,443.54
17,2024-04-21,CUST0435,Gadget Y,1,266.52
18,2024-04-29,CUST0241,Gadget Y,5,257.02
19,2024-09-15,CUST0437,Tool Lite,12,131.63
20,2024-11-04,CUST0254,Widget C,5,194.24
21,2024-01-14,CUST0446,Widget B,3,353.32
22,2024-10-14,CUST0085,Tool Pro,8,427.82
23,2024-04-11,CUST0039,Widget C,3,156.11
24,2024-11-28,CUST0385,Widget A,1,110.08
25,2024-12-25,CUST0252,Tool Pro,19,155.09
26,2024-10-06,CUST0165,Tool Lite,14,24.12
27,2024-08-02,CUST0124,Widget A,5,325.55
28,2024-04-22,CUST0170,Widget B,6,216.5
29,2024-08-17,CUST0497,Widget B,16,190.63
30,2024-10-28,CUST0143,Tool Lite,5,390.14
31,2024-05-22,CUST0026,Tool Pro,17,496.56
32,2024-01-04,CUST0260,Widget B,10,228.88
33,2024-03-22,CUST0115,Tool Pro,16,197.19
34,2024-12-23,CUST0282,Widget B,14,86.92
35,2024-08-04,CUST0330,Widget C,11,227.63
36,2024-06-23,CUST0194,Widget B,15,163.9
37,2024-05-22,CUST0207,Widget B,1,469.08
38,2024-03-20,CUST0419,Widget B,10,233.41
39,2024-04-20,CUST0121,Widget A,4,106.91
40,2024-06-21,CUST0041,Gadget X,5,307.21
41,2024-02-22,CUST0236,Tool Pro,2,149.53
42,2024-02-17,CUST0228,Tool Lite,2,297.38
43,2024-07-13,CUST0411,Tool Lite,20,168.17
44,2024-02-19,CUST0294,Widget A,6,18.31
45,2024-07-02,CUST0230,Widget A,17,35.69
46,2024-06-25,CUST0046,Widget A,6,170.0
47,2024-11-05,CUST0439,Tool Lite,1,243.78
48,2024-05-15,CUST0256,Gadget X,13,79.46
49,2024-01-23,CUST0229,Tool Lite,14,417.58
50,2024-08-23,CUST0162,Gadget X,15,193.76
51,2024-10-01,CUST0061,Widget A,18,22.48
52,2024-03-04,CUST0255,Widget B,9,222.79
53,2024-07-12,CUST0382,Widget A,19,168.7
54,2024-02-10,CUST0335,Widget A,17,97.22
55,2024-10-09,CUST0010,Tool Lite,10,310.41
56,2024-05-30,CUST0053,Tool Pro,8,382.66
57,2024-11-17,CUST0207,Gadget Y,14,325.37
58,2024-11-12,CUST0212,Gadget Y,6,168.77
59,2024-07-04,CUST0019,Widget A,9,380.68
60,2024-10-22,CUST0286,Gadget X,3,29.3
61,2024-04-08,CUST0282,Widget A,17,260.74
62,2024-12-26,CUST0001,Widget C,13,364.16
63,2024-02-05,CUST0423,Widget A,5,359.7
64,2024-01-24,CUST0047,Widget A,7,253.37
65,2024-12-04,CUST0406,Widget C,13,464.2
66,2024-04-26,CUST0310,Tool Pro,20,78.56
67,2024-05-28,CUST0494,Widget A,2,60.1
68,2024-02-10,CUST0317,Tool Lite,8,90.06
69,2024-04-29,CUST0327,Widget A,13,359.79
70,2024-02-21,CUST0156,Tool Lite,6,55.01
71,2024-07-13,CUST0456,Widget A,18,186.56
72,2024-05-22,CUST0261,Gadget Y,20,184.97
73,2024-08-20,CUST0288,Widget B,3,49.77
74,2024-11-21,CUST0106,Gadget Y,15,178.35
75,2024-07-05,CUST0336,Widget B,16,44.09
76,2024-03-24,CUST0344,Widget B,11,206.27
